sequence,dataset,frame,dx,dy,maximizer_x_cells,maximizer_y_cells,boundary,maximizing_shifts,native_overlap,maximum_overlap
0000,v2v_development,60,2.0,-0.5,4,-1,False,2,333,624
0000,v2v_development,61,2.5,-0.5,5,-1,False,1,343,616
0000,v2v_development,62,3.0,-0.5,6,-1,False,1,306,548
0000,v2v_development,63,2.0,-0.5,4,-1,False,1,319,557
0000,v2v_development,64,3.0,-0.5,6,-1,False,1,331,594
0000,v2v_development,65,4.0,0.0,8,0,False,1,377,650
0000,v2v_development,66,2.0,-0.5,4,-1,False,2,366,597
0000,v2v_development,67,3.5,0.0,7,0,False,1,400,631
0000,v2v_development,68,4.0,0.0,8,0,False,1,372,632
0000,v2v_development,69,3.5,0.0,7,0,False,1,379,615
0000,v2v_development,70,4.0,0.0,8,0,False,1,329,600
0000,v2v_development,71,4.0,0.0,8,0,False,1,340,584
0000,v2v_development,72,3.0,-0.5,6,-1,False,1,370,612
0000,v2v_development,73,3.0,-0.5,6,-1,False,1,411,680
0000,v2v_development,74,4.0,0.0,8,0,False,1,331,615
0000,v2v_development,75,3.5,-0.5,7,-1,False,1,334,577
0000,v2v_development,76,4.5,0.0,9,0,False,1,338,580
0000,v2v_development,77,3.5,-0.5,7,-1,False,2,379,605
0000,v2v_development,78,2.0,-0.5,4,-1,False,1,352,586
0000,v2v_development,79,4.0,0.0,8,0,False,1,336,553
0000,v2v_development,80,4.0,0.0,8,0,False,1,339,530
0000,v2v_development,81,4.0,0.0,8,0,False,1,321,522
0000,v2v_development,82,4.0,-0.5,8,-1,False,1,310,525
0000,v2v_development,83,3.5,-0.5,7,-1,False,1,291,531
0000,v2v_development,84,4.0,-0.5,8,-1,False,1,290,539
0000,v2v_development,85,4.0,0.0,8,0,False,1,285,551
0000,v2v_development,86,4.0,0.0,8,0,False,1,284,577
0000,v2v_development,87,4.0,0.0,8,0,False,1,329,635
0000,v2v_development,88,4.0,0.0,8,0,False,1,342,652
0000,v2v_development,89,4.0,0.0,8,0,False,1,342,668
0000,v2v_development,90,4.0,0.0,8,0,False,1,350,618
0000,v2v_development,91,4.0,0.0,8,0,False,1,455,698
0000,v2v_development,92,4.0,0.0,8,0,False,1,405,658
0000,v2v_development,93,4.0,0.0,8,0,False,1,360,592
0000,v2v_development,94,4.0,0.0,8,0,False,1,374,587
0000,v2v_development,95,3.5,0.0,7,0,False,1,440,655
0000,v2v_development,96,4.0,-0.5,8,-1,False,1,386,645
0000,v2v_development,97,4.5,0.0,9,0,False,1,415,647
0000,v2v_development,98,6.0,0.5,12,1,False,1,355,573
0000,v2v_development,99,4.0,0.0,8,0,False,1,367,575
0000,v2v_development,100,4.0,0.0,8,0,False,1,330,567
0000,v2v_development,101,4.5,0.0,9,0,False,1,260,498
0000,v2v_development,102,4.0,0.0,8,0,False,1,220,453
0000,v2v_development,103,4.5,0.0,9,0,False,1,203,474
0000,v2v_development,104,4.5,0.0,9,0,False,1,216,516
0000,v2v_development,105,4.5,0.0,9,0,False,1,211,549
0000,v2v_development,106,4.5,0.0,9,0,False,1,238,576
0000,v2v_development,107,4.5,0.0,9,0,False,1,205,515
0000,v2v_development,108,3.5,-0.5,7,-1,False,1,204,401
0000,v2v_development,109,3.5,0.0,7,0,False,1,198,436
0000,v2v_development,110,3.0,0.0,6,0,False,1,239,480
0000,v2v_development,111,3.5,0.0,7,0,False,1,202,408
0000,v2v_development,112,3.5,0.0,7,0,False,1,190,374
0000,v2v_development,113,3.5,0.0,7,0,False,1,169,370
0000,v2v_development,114,3.5,0.0,7,0,False,1,157,366
0000,v2v_development,115,3.5,0.0,7,0,False,1,167,333
0000,v2v_development,116,3.0,0.0,6,0,False,1,169,327
0000,v2v_development,117,3.5,0.0,7,0,False,1,171,330
0000,v2v_development,118,3.5,0.0,7,0,False,1,175,347
0000,v2v_development,119,3.5,0.0,7,0,False,1,167,309
0000,v2v_development,120,3.5,0.0,7,0,False,1,148,233
0000,v2v_development,121,3.5,0.0,7,0,False,1,111,196
0000,v2v_development,122,3.5,0.0,7,0,False,1,91,182
0000,v2v_development,123,3.5,0.0,7,0,False,1,101,172
0000,v2v_development,124,3.5,0.0,7,0,False,1,115,194
0000,v2v_development,125,3.5,0.0,7,0,False,1,121,210
0000,v2v_development,126,3.5,0.0,7,0,False,1,94,178
0000,v2v_development,127,3.5,0.0,7,0,False,1,95,171
0000,v2v_development,128,4.0,0.0,8,0,False,1,96,145
0000,v2v_development,129,3.5,0.0,7,0,False,1,61,123
0000,v2v_development,130,4.0,0.0,8,0,False,1,77,133
0000,v2v_development,131,3.5,0.0,7,0,False,1,71,166
0000,v2v_development,132,3.5,0.0,7,0,False,1,98,188
0000,v2v_development,133,3.5,0.0,7,0,False,1,94,177
0000,v2v_development,134,3.5,-0.5,7,-1,False,1,83,157
0000,v2v_development,135,4.0,0.0,8,0,False,1,100,166
0000,v2v_development,136,4.0,0.0,8,0,False,1,105,190
0000,v2v_development,137,3.0,0.0,6,0,False,2,101,158
0000,v2v_development,138,3.0,0.0,6,0,False,1,80,126
0000,v2v_development,139,3.5,0.0,7,0,False,2,65,102
0000,v2v_development,140,3.0,1.0,6,2,False,2,43,87
0000,v2v_development,141,3.0,0.0,6,0,False,1,33,64
0000,v2v_development,142,3.5,0.0,7,0,False,1,39,60
0000,v2v_development,143,3.5,0.0,7,0,False,1,49,68
0000,v2v_development,144,4.0,0.0,8,0,False,1,38,54
0000,v2v_development,145,0.0,0.0,20,17,True,1,19,36
0000,v2v_development,146,5.5,2.0,11,4,False,1,20,40
0000,v2v_development,147,4.0,0.0,8,0,False,1,28,51
0001,v2v_development,1,0.0,0.0,20,-1,True,1,902,1001
0001,v2v_development,2,9.0,-0.5,18,-1,False,2,860,953
0001,v2v_development,3,0.0,0.0,20,-1,True,1,781,949
0001,v2v_development,4,9.5,-0.5,19,-1,False,1,826,962
0001,v2v_development,5,0.0,0.0,20,-1,True,1,873,1022
0001,v2v_development,6,0.0,0.0,20,-1,True,1,859,996
0001,v2v_development,7,0.0,0.0,20,0,True,1,860,964
0001,v2v_development,8,0.0,0.0,20,0,True,1,1020,1132
0001,v2v_development,9,8.5,0.0,17,0,False,1,1112,1242
0001,v2v_development,10,6.5,0.0,13,0,False,1,1206,1311
0001,v2v_development,11,7.0,0.0,14,0,False,1,1240,1355
0001,v2v_development,12,7.0,0.0,14,0,False,1,1233,1348
0001,v2v_development,13,6.5,0.0,13,0,False,1,1256,1368
0001,v2v_development,14,7.0,0.0,14,0,False,1,1295,1402
0001,v2v_development,15,9.5,0.5,19,1,False,1,1213,1396
0001,v2v_development,16,6.0,0.0,12,0,False,1,1227,1399
0001,v2v_development,17,6.5,0.0,13,0,False,1,1249,1384
0001,v2v_development,18,4.0,0.0,8,0,False,1,1197,1325
0001,v2v_development,19,5.0,0.0,10,0,False,1,1151,1314
0001,v2v_development,20,5.5,0.0,11,0,False,1,1127,1260
0001,v2v_development,21,6.0,0.0,12,0,False,1,1094,1224
0001,v2v_development,22,3.5,0.0,7,0,False,1,1065,1229
0001,v2v_development,23,4.5,-0.5,9,-1,False,1,772,905
0001,v2v_development,24,2.0,-0.5,4,-1,False,1,755,900
0001,v2v_development,25,5.0,-0.5,10,-1,False,1,701,834
0001,v2v_development,26,3.0,-0.5,6,-1,False,2,687,813
0001,v2v_development,27,3.5,-0.5,7,-1,False,1,708,815
0001,v2v_development,28,3.0,-0.5,6,-1,False,1,693,774
0001,v2v_development,29,4.5,-0.5,9,-1,False,1,712,777
0001,v2v_development,30,4.0,-0.5,8,-1,False,3,673,752
0001,v2v_development,31,4.5,-0.5,9,-1,False,1,654,743
0001,v2v_development,32,4.5,-0.5,9,-1,False,1,635,756
0001,v2v_development,33,5.0,-0.5,10,-1,False,1,619,759
0001,v2v_development,34,6.5,-0.5,13,-1,False,2,575,705
0001,v2v_development,35,5.0,-0.5,10,-1,False,1,579,735
0001,v2v_development,36,3.0,-0.5,6,-1,False,1,633,797
0001,v2v_development,37,4.5,-0.5,9,-1,False,1,629,818
0001,v2v_development,38,4.5,-0.5,9,-1,False,1,654,872
0001,v2v_development,39,3.0,-0.5,6,-1,False,1,655,899
0001,v2v_development,40,3.0,-0.5,6,-1,False,1,681,881
0001,v2v_development,41,3.0,-0.5,6,-1,False,1,670,879
0001,v2v_development,42,3.0,-0.5,6,-1,False,1,654,913
0001,v2v_development,43,3.5,-0.5,7,-1,False,1,663,899
0001,v2v_development,44,3.0,-0.5,6,-1,False,1,672,934
0001,v2v_development,45,3.0,-0.5,6,-1,False,1,706,942
0001,v2v_development,46,3.0,-0.5,6,-1,False,1,721,933
0001,v2v_development,47,3.0,-0.5,6,-1,False,1,653,848
0001,v2v_development,48,2.0,-0.5,4,-1,False,1,610,719
0001,v2v_development,49,3.0,-0.5,6,-1,False,1,433,557
0001,v2v_development,50,3.0,-0.5,6,-1,False,1,298,428
0001,v2v_development,51,3.0,-0.5,6,-1,False,1,349,514
0001,v2v_development,52,3.0,-0.5,6,-1,False,1,383,564
0001,v2v_development,53,3.5,-0.5,7,-1,False,1,384,587
0001,v2v_development,54,3.0,-0.5,6,-1,False,1,398,643
0001,v2v_development,55,3.5,-0.5,7,-1,False,1,424,678
0001,v2v_development,56,3.0,-0.5,6,-1,False,1,435,671
0001,v2v_development,57,3.0,-0.5,6,-1,False,1,469,725
0001,v2v_development,58,2.0,-0.5,4,-1,False,1,468,722
0001,v2v_development,59,3.0,-0.5,6,-1,False,1,486,753
0001,v2v_development,60,3.0,-0.5,6,-1,False,1,481,752
0001,v2v_development,61,2.5,-0.5,5,-1,False,1,439,697
0001,v2v_development,62,2.5,-0.5,5,-1,False,1,437,715
0001,v2v_development,63,2.5,-0.5,5,-1,False,1,453,735
0001,v2v_development,64,1.0,-0.5,2,-1,False,1,644,801
0001,v2v_development,65,2.5,-0.5,5,-1,False,1,444,755
0001,v2v_development,66,2.0,-0.5,4,-1,False,1,396,690
0001,v2v_development,67,3.0,-1.0,6,-2,False,1,402,714
0001,v2v_development,68,2.5,-0.5,5,-1,False,2,381,697
0001,v2v_development,69,2.5,-0.5,5,-1,False,1,362,688
0001,v2v_development,70,2.5,-0.5,5,-1,False,1,334,627
0001,v2v_development,71,3.0,-1.0,6,-2,False,1,342,618
0001,v2v_development,72,3.0,-1.0,6,-2,False,1,383,703
0001,v2v_development,73,2.5,-0.5,5,-1,False,1,452,791
0001,v2v_development,74,2.5,-1.0,5,-2,False,1,458,853
0001,v2v_development,75,3.5,-1.0,7,-2,False,1,471,864
0001,v2v_development,76,3.5,-1.0,7,-2,False,1,495,860
0001,v2v_development,77,2.5,-1.0,5,-2,False,1,492,847
0001,v2v_development,78,3.0,-1.0,6,-2,False,1,482,865
0001,v2v_development,79,3.0,-1.0,6,-2,False,1,484,829
0001,v2v_development,80,2.5,-1.0,5,-2,False,1,495,843
0001,v2v_development,81,2.5,-1.0,5,-2,False,1,456,814
0001,v2v_development,82,2.5,-1.0,5,-2,False,1,444,824
0001,v2v_development,83,2.0,-0.5,4,-1,False,1,416,504
0001,v2v_development,84,1.0,0.0,2,0,False,1,344,425
0001,v2v_development,85,2.0,-0.5,4,-1,False,1,426,559
0001,v2v_development,86,1.0,0.0,2,0,False,1,676,850
0001,v2v_development,87,1.5,0.0,3,0,False,1,638,818
0001,v2v_development,88,1.0,0.0,2,0,False,1,696,861
0001,v2v_development,89,1.0,0.0,2,0,False,1,697,870
0001,v2v_development,90,1.0,0.0,2,0,False,1,705,871
0001,v2v_development,91,1.5,0.0,3,0,False,1,687,892
0001,v2v_development,92,3.0,-0.5,6,-1,False,1,640,907
0001,v2v_development,93,3.0,-0.5,6,-1,False,1,656,892
0001,v2v_development,94,1.0,0.0,2,0,False,1,801,949
0001,v2v_development,95,2.5,-0.5,5,-1,False,1,652,869
0001,v2v_development,96,1.0,0.0,2,0,False,1,752,944
0001,v2v_development,97,2.5,-0.5,5,-1,False,1,775,950
0001,v2v_development,98,1.5,0.0,3,0,False,1,712,933
0001,v2v_development,99,2.5,-0.5,5,-1,False,2,735,905
0001,v2v_development,100,2.5,-0.5,5,-1,False,1,713,887
0001,v2v_development,101,1.0,0.0,2,0,False,1,767,941
0001,v2v_development,102,3.0,-0.5,6,-1,False,1,682,863
0001,v2v_development,103,1.5,0.0,3,0,False,1,713,905
0001,v2v_development,104,1.5,0.0,3,0,False,1,619,811
0001,v2v_development,105,1.0,0.0,2,0,False,1,625,805
0001,v2v_development,106,2.5,-0.5,5,-1,False,1,501,724
0001,v2v_development,107,3.0,-0.5,6,-1,False,1,487,730
0001,v2v_development,108,3.0,-0.5,6,-1,False,1,522,752
0001,v2v_development,109,2.5,-0.5,5,-1,False,1,554,769
0001,v2v_development,110,3.0,-0.5,6,-1,False,1,481,716
0001,v2v_development,111,2.5,-0.5,5,-1,False,1,490,723
0001,v2v_development,112,3.5,-1.0,7,-2,False,1,397,642
0001,v2v_development,113,2.5,-0.5,5,-1,False,1,396,670
0001,v2v_development,114,1.0,0.0,2,0,False,1,458,700
0002,v2v_development,1,1.0,0.0,2,0,False,1,240,413
0002,v2v_development,2,1.5,0.0,3,0,False,1,173,424
0002,v2v_development,3,1.5,0.0,3,0,False,1,182,446
0002,v2v_development,4,1.0,0.0,2,0,False,1,326,439
0002,v2v_development,5,2.0,0.0,4,0,False,1,164,434
0002,v2v_development,6,1.5,0.0,3,0,False,1,196,424
0002,v2v_development,7,1.0,0.0,2,0,False,1,351,446
0002,v2v_development,8,1.0,0.0,2,0,False,1,324,406
0002,v2v_development,9,1.5,0.0,3,0,False,1,204,421
0002,v2v_development,10,1.5,0.0,3,0,False,1,215,434
0002,v2v_development,11,1.0,0.0,2,0,False,1,269,425
0002,v2v_development,12,1.0,0.0,2,0,False,1,340,498
0002,v2v_development,13,1.0,0.0,2,0,False,1,438,554
0002,v2v_development,14,1.5,0.0,3,0,False,1,369,549
0002,v2v_development,15,2.0,0.0,4,0,False,1,346,605
0002,v2v_development,16,1.5,0.0,3,0,False,1,412,624
0002,v2v_development,17,2.0,0.0,4,0,False,1,400,683
0002,v2v_development,18,1.5,0.0,3,0,False,1,530,720
0002,v2v_development,19,2.0,0.0,4,0,False,1,446,728
0002,v2v_development,20,2.0,0.0,4,0,False,1,457,751
0002,v2v_development,21,1.5,0.0,3,0,False,1,637,743
0002,v2v_development,22,2.0,0.0,4,0,False,1,484,773
0002,v2v_development,23,1.5,0.0,3,0,False,1,633,772
0002,v2v_development,24,1.5,0.0,3,0,False,1,634,779
0002,v2v_development,25,2.5,0.0,5,0,False,1,530,805
0002,v2v_development,26,1.5,0.0,3,0,False,1,664,836
0002,v2v_development,27,1.5,0.0,3,0,False,1,692,836
0002,v2v_development,28,1.5,0.0,3,0,False,1,700,826
0002,v2v_development,29,1.5,0.0,3,0,False,1,690,822
0002,v2v_development,30,2.0,0.0,4,0,False,1,574,822
0002,v2v_development,31,2.5,0.0,5,0,False,1,562,856
0002,v2v_development,32,2.0,0.0,4,0,False,1,597,845
0002,v2v_development,33,2.0,0.0,4,0,False,1,614,875
0002,v2v_development,34,2.0,0.0,4,0,False,1,628,865
0002,v2v_development,35,2.5,0.0,5,0,False,1,602,882
0002,v2v_development,36,2.0,0.0,4,0,False,1,653,881
0002,v2v_development,37,2.0,0.0,4,0,False,1,667,898
0002,v2v_development,38,2.0,0.0,4,0,False,1,688,870
0002,v2v_development,39,2.0,0.0,4,0,False,1,686,880
0002,v2v_development,40,2.0,0.0,4,0,False,1,670,883
0002,v2v_development,41,2.0,0.0,4,0,False,1,682,885
0002,v2v_development,42,2.0,0.0,4,0,False,1,698,878
0002,v2v_development,43,2.0,0.0,4,0,False,1,669,868
0002,v2v_development,44,2.0,0.0,4,0,False,1,675,849
0002,v2v_development,45,2.5,0.0,5,0,False,1,615,856
0002,v2v_development,46,2.0,0.0,4,0,False,1,704,857
0002,v2v_development,47,2.5,0.0,5,0,False,1,657,886
0002,v2v_development,48,2.0,0.0,4,0,False,1,708,885
0002,v2v_development,49,2.0,0.0,4,0,False,1,752,942
0002,v2v_development,50,2.0,0.0,4,0,False,1,783,959
0002,v2v_development,51,2.0,0.0,4,0,False,1,672,848
0002,v2v_development,52,2.0,0.0,4,0,False,1,647,803
0002,v2v_development,53,1.0,0.0,2,0,False,2,619,804
0002,v2v_development,54,1.0,0.0,2,0,False,1,659,831
0002,v2v_development,55,1.5,0.0,3,0,False,1,584,783
0002,v2v_development,56,1.0,0.0,2,0,False,1,651,770
0002,v2v_development,57,1.5,0.0,3,0,False,1,631,751
0002,v2v_development,58,1.0,0.0,2,0,False,1,665,792
0002,v2v_development,59,1.0,0.0,2,0,False,1,711,797
0002,v2v_development,60,1.0,0.0,2,0,False,1,675,766
0002,v2v_development,61,1.0,0.0,2,0,False,1,692,787
0002,v2v_development,62,1.0,0.0,2,0,False,1,692,800
0002,v2v_development,63,1.0,0.0,2,0,False,1,730,852
0002,v2v_development,64,1.0,0.0,2,0,False,2,720,826
0002,v2v_development,65,1.0,0.0,2,0,False,1,714,797
0002,v2v_development,66,1.0,0.0,2,0,False,1,752,846
0002,v2v_development,67,1.0,0.0,2,0,False,1,758,853
0002,v2v_development,68,0.5,0.0,1,0,False,1,765,864
0002,v2v_development,69,1.0,0.0,2,0,False,1,764,853
0002,v2v_development,70,1.0,0.0,2,0,False,1,739,802
0002,v2v_development,71,1.0,0.0,2,0,False,1,779,879
0002,v2v_development,72,1.0,0.0,2,0,False,1,807,905
0002,v2v_development,73,1.0,0.0,2,0,False,1,785,915
0002,v2v_development,74,1.0,0.0,2,0,False,2,799,908
0002,v2v_development,75,1.5,0.0,3,0,False,1,736,894
0002,v2v_development,76,1.0,0.0,2,0,False,2,699,820
0002,v2v_development,77,1.0,0.0,2,0,False,1,757,858
0002,v2v_development,78,1.0,0.0,2,0,False,1,828,929
0002,v2v_development,79,1.5,0.0,3,0,False,1,873,990
0002,v2v_development,80,1.0,0.0,2,0,False,1,915,1017
0002,v2v_development,81,1.0,0.0,2,0,False,1,923,1027
0002,v2v_development,82,1.0,0.0,2,0,False,1,881,984
0002,v2v_development,83,1.0,0.0,2,0,False,1,709,796
0002,v2v_development,84,1.0,0.0,2,0,False,1,715,799
0002,v2v_development,85,1.5,0.0,3,0,False,1,629,744
0002,v2v_development,86,1.0,0.0,2,0,False,1,747,826
0002,v2v_development,87,0.5,0.0,1,0,False,1,808,858
0002,v2v_development,88,1.0,0.0,2,0,False,1,750,841
0002,v2v_development,89,0.5,0.0,1,0,False,1,763,816
0002,v2v_development,90,1.0,0.0,2,0,False,1,773,867
0002,v2v_development,91,0.5,0.0,1,0,False,1,924,977
0002,v2v_development,92,0.5,0.0,1,0,False,1,984,1037
0002,v2v_development,93,1.5,0.0,3,0,False,1,919,1015
0002,v2v_development,94,1.0,0.0,2,0,False,1,944,1084
0002,v2v_development,95,2.0,0.0,4,0,False,1,975,1091
0002,v2v_development,96,1.5,0.0,3,0,False,1,919,1080
0002,v2v_development,97,1.5,0.0,3,0,False,1,933,1075
0002,v2v_development,98,1.5,0.0,3,0,False,1,981,1112
0002,v2v_development,99,1.5,0.0,3,0,False,1,978,1125
0002,v2v_development,100,0.5,0.0,1,0,False,1,1178,1289
0002,v2v_development,101,1.5,0.0,3,0,False,1,1051,1261
0002,v2v_development,102,1.0,0.0,2,0,False,1,1122,1248
0002,v2v_development,103,1.5,0.0,3,0,False,1,1102,1295
0002,v2v_development,104,0.5,0.0,1,0,False,1,1279,1417
0002,v2v_development,105,1.5,0.0,3,0,False,1,1245,1448
0002,v2v_development,106,1.5,0.0,3,0,False,1,1272,1528
0002,v2v_development,107,0.5,0.0,1,0,False,1,1609,1727
0002,v2v_development,108,0.5,0.0,1,0,False,1,1587,1756
0002,v2v_development,109,0.5,0.0,1,0,False,1,1594,1744
0002,v2v_development,110,0.5,0.0,1,0,False,1,1519,1642
0002,v2v_development,111,0.5,0.0,1,0,False,1,1500,1630
0002,v2v_development,112,1.5,0.0,3,0,False,1,1349,1569
0002,v2v_development,113,1.0,0.0,2,0,False,1,1396,1575
0002,v2v_development,114,0.5,0.0,1,0,False,1,1491,1609
0002,v2v_development,115,1.5,0.0,3,0,False,1,1270,1533
0002,v2v_development,116,1.5,0.0,3,0,False,1,1326,1584
0002,v2v_development,117,1.0,0.0,2,0,False,1,1547,1674
0002,v2v_development,118,1.5,0.0,3,0,False,1,1407,1629
0002,v2v_development,119,1.5,0.0,3,0,False,1,1361,1567
0002,v2v_development,120,1.0,0.0,2,0,False,1,1474,1607
0002,v2v_development,121,1.0,0.0,2,0,False,1,1463,1571
0002,v2v_development,122,1.0,0.0,2,0,False,1,1377,1547
0002,v2v_development,123,1.0,0.0,2,0,False,1,1385,1485
0002,v2v_development,124,0.5,0.0,1,0,False,1,1393,1483
0002,v2v_development,125,2.0,0.0,4,0,False,1,1084,1339
0002,v2v_development,126,1.0,0.0,2,0,False,1,1200,1324
0002,v2v_development,127,1.0,0.0,2,0,False,1,1251,1328
0002,v2v_development,128,0.5,0.0,1,0,False,1,1189,1253
0002,v2v_development,129,0.5,0.0,1,0,False,1,1104,1141
0002,v2v_development,130,1.0,0.0,2,0,False,1,946,1008
0002,v2v_development,131,0.5,0.0,1,0,False,1,858,901
0002,v2v_development,132,0.5,0.0,1,0,False,1,756,784
0002,v2v_development,133,2.0,0.0,4,0,False,1,725,736
0002,v2v_development,134,0.5,0.0,1,0,False,1,756,775
0002,v2v_development,135,-0.5,0.0,-1,0,False,1,798,804
0002,v2v_development,136,1.0,0.0,2,0,False,1,713,782
0002,v2v_development,137,1.0,0.0,2,0,False,1,703,785
0002,v2v_development,138,1.0,0.0,2,0,False,1,730,809
0002,v2v_development,139,1.0,0.0,2,0,False,1,781,873
0002,v2v_development,140,0.5,0.0,1,0,False,1,831,849
0002,v2v_development,141,0.5,0.0,1,0,False,1,855,867
0002,v2v_development,142,0.5,0.0,1,0,False,1,863,878
0002,v2v_development,143,1.0,0.0,2,0,False,1,762,827
0002,v2v_development,144,1.0,0.0,2,0,False,1,807,872
0003,v2v_development,1,2.5,0.5,5,1,False,1,492,647
0003,v2v_development,2,2.5,0.0,5,0,False,1,483,662
0003,v2v_development,3,2.0,0.0,4,0,False,1,573,661
0003,v2v_development,4,2.0,0.0,4,0,False,1,544,664
0003,v2v_development,5,2.5,0.5,5,1,False,1,488,659
0003,v2v_development,6,2.0,0.5,4,1,False,1,598,717
0003,v2v_development,7,2.0,0.0,4,0,False,1,617,719
0003,v2v_development,8,2.5,0.5,5,1,False,1,565,710
0003,v2v_development,9,3.0,0.5,6,1,False,1,535,724
0003,v2v_development,10,3.0,0.5,6,1,False,1,555,779
0003,v2v_development,11,2.0,0.5,4,1,False,1,694,788
0003,v2v_development,12,2.5,0.5,5,1,False,1,629,711
0003,v2v_development,13,2.5,0.5,5,1,False,1,597,723
0003,v2v_development,14,2.5,0.5,5,1,False,1,522,674
0003,v2v_development,15,2.5,0.5,5,1,False,1,489,591
0003,v2v_development,16,2.5,0.5,5,1,False,1,365,435
0003,v2v_development,17,2.5,0.5,5,1,False,1,377,422
0003,v2v_development,18,2.5,0.5,5,1,False,1,511,609
0003,v2v_development,19,2.5,0.5,5,1,False,1,591,746
0003,v2v_development,20,2.0,0.5,4,1,False,1,608,733
0003,v2v_development,21,2.5,0.5,5,1,False,1,626,800
0003,v2v_development,22,2.0,0.0,4,0,False,1,572,696
0003,v2v_development,23,2.0,0.5,4,1,False,1,652,783
0003,v2v_development,24,2.0,0.5,4,1,False,1,659,823
0003,v2v_development,25,1.5,0.5,3,1,False,1,652,737
0003,v2v_development,26,2.5,0.5,5,1,False,1,585,749
0003,v2v_development,27,2.0,0.0,4,0,False,1,628,720
0003,v2v_development,28,2.0,0.0,4,0,False,2,634,744
