sequence,sensor,frame,score,distance_sensor,positive_3m,positive_12m
0000,ego,41,0.711187,20.819557894157622,1,1
0000,ego,42,0.809857,38.49007944643696,1,1
0000,ego,42,0.686216,21.06364548283793,1,1
0000,ego,42,0.231035,37.13414692616063,0,0
0000,ego,43,0.808851,38.328316396408404,1,1
0000,ego,43,0.720535,21.113837696527835,1,1
0000,ego,43,0.278063,37.91217785919373,0,0
0000,ego,43,0.27534,28.753468200907,0,0
0000,ego,44,0.77342,37.87852367191484,1,1
0000,ego,44,0.72487,21.055043438634094,1,1
0000,ego,44,0.311673,30.63273510358649,0,0
0000,ego,45,0.823991,21.27558568464448,1,1
0000,ego,45,0.617594,37.68334718081451,1,1
0000,ego,45,0.250573,32.38896157415594,0,0
0000,ego,46,0.799681,21.465957989324433,1,1
0000,ego,46,0.752275,37.45572743427223,1,1
0000,ego,47,0.801589,21.605538343514922,1,1
0000,ego,47,0.647716,37.03032829824663,1,1
0000,ego,48,0.823687,21.67056856989223,1,1
0000,ego,48,0.699115,36.82820978076914,1,1
0000,ego,48,0.207272,34.622910807118416,0,0
0000,ego,49,0.826543,21.933303109046264,1,1
0000,ego,49,0.711825,36.66735353330671,1,1
0000,ego,50,0.829823,36.48436529355916,1,1
0000,ego,50,0.78839,22.10985614853897,1,1
0000,ego,51,0.812635,36.41990992525632,1,1
0000,ego,51,0.720003,22.301958144857135,1,1
0000,ego,52,0.748935,36.3178476238747,1,1
0000,ego,52,0.717359,22.290076424704594,1,1
0000,ego,53,0.788206,35.953941824091565,1,1
0000,ego,53,0.680704,22.371699236209327,1,1
0000,ego,53,0.235907,31.082109003154162,0,0
0000,ego,54,0.70996,22.760545305350128,1,1
0000,ego,54,0.672099,35.93696180685409,1,1
0000,ego,54,0.242778,30.819005094113404,0,0
0000,ego,54,0.237687,32.65232477219417,0,0
0000,ego,54,0.222434,30.955953961789035,0,0
0000,ego,55,0.785852,22.77029637322342,1,1
0000,ego,55,0.75431,35.859856744822395,1,1
0000,ego,55,0.290021,33.84533377756438,0,0
0000,ego,56,0.842513,35.64501257437108,1,1
0000,ego,56,0.785026,23.06025353525546,1,1
0000,ego,56,0.221264,32.979620132264834,0,0
0000,ego,56,0.200054,32.09069660055104,0,0
0000,ego,57,0.857142,35.610560236474036,1,1
0000,ego,57,0.811192,23.087178577687403,1,1
0000,ego,57,0.224859,29.158371813651545,0,0
0000,ego,58,0.841968,35.480693600412394,1,1
0000,ego,58,0.805167,23.572857272159556,1,1
0000,ego,59,0.788331,35.15496882002174,1,1
0000,ego,59,0.695348,23.74134446321639,1,1
0000,ego,59,0.269563,35.00623189189905,0,0
0000,ego,60,0.651585,35.06951323569269,1,1
0000,ego,60,0.573162,23.785876760560583,1,1
0000,ego,60,0.240474,39.85548274475637,0,0
0000,ego,61,0.717119,35.2693260350675,1,1
0000,ego,61,0.56278,23.90910296765363,1,1
0000,ego,62,0.817954,35.1615909933061,1,1
0000,ego,62,0.462601,24.285418490546856,1,1
0000,ego,62,0.20716,38.66302346882904,0,0
0000,ego,63,0.84511,35.32963851629022,1,1
0000,ego,63,0.638756,24.358704241670022,1,1
0000,ego,63,0.219026,38.684616199715215,0,0
0000,ego,64,0.81485,35.097120830703204,1,1
0000,ego,64,0.766929,24.508338578219885,1,1
0000,ego,65,0.824376,35.078549700183686,1,1
0000,ego,65,0.750099,24.7743706539157,1,1
0000,ego,66,0.78789,24.87827128701371,1,1
0000,ego,66,0.760617,35.125412770659324,1,1
0000,ego,67,0.641852,25.140582767309027,1,1
0000,ego,67,0.556809,35.0070049659016,1,1
0000,ego,68,0.781745,25.256010050597514,1,1
0000,ego,68,0.718366,35.149075124052715,1,1
0000,ego,69,0.832756,35.071563915541404,1,1
0000,ego,69,0.786693,25.422112743545316,1,1
0000,ego,69,0.221068,28.659703806899678,0,0
0000,ego,70,0.836717,35.13730519142003,1,1
0000,ego,70,0.701778,25.634292027649792,1,1
0000,ego,70,0.213962,37.23251966348564,0,0
0000,ego,71,0.813705,35.19673674148875,1,1
0000,ego,71,0.667027,25.65143451944984,1,1
0000,ego,71,0.320866,27.332080202953648,0,0
0000,ego,72,0.825471,35.330732037473595,1,1
0000,ego,72,0.632308,25.72441703932002,1,1
0000,ego,72,0.276667,27.1660471954383,0,0
0000,ego,73,0.75725,26.101219880377446,1,1
0000,ego,73,0.665231,35.38219811389013,1,1
0000,ego,73,0.402096,27.01613796319019,0,0
0000,ego,74,0.749885,26.070045652319717,1,1
0000,ego,74,0.678773,35.42650497064784,1,1
0000,ego,74,0.302287,27.045392696055632,0,0
0000,ego,75,0.781965,26.191513601627914,1,1
0000,ego,75,0.64827,35.35387753593114,1,1
0000,ego,75,0.305317,27.34516906176621,0,0
0000,ego,76,0.756171,26.186374038951406,1,1
0000,ego,76,0.5165,35.35979179989549,1,1
0000,ego,76,0.324897,36.58864481724829,0,0
0000,ego,76,0.242841,27.663795243178782,0,0
0000,ego,77,0.758201,26.40661564154006,1,1
0000,ego,77,0.482247,35.50680187253437,1,1
0000,ego,78,0.742891,26.46681831961258,1,1
0000,ego,78,0.528756,35.80482990622115,1,1
0000,ego,79,0.8046,26.65734625689447,1,1
0000,ego,79,0.610267,35.76765816744881,1,1
0000,ego,79,0.211975,33.62190336696234,0,0
0000,ego,80,0.776833,26.79789196753947,1,1
0000,ego,80,0.749713,35.84778688938853,1,1
0000,ego,81,0.768225,26.874795255898345,1,1
0000,ego,81,0.700722,35.86373164023327,1,1
0000,ego,81,0.25851,38.61779216090371,0,0
0000,ego,81,0.23219,34.49067244668831,0,0
0000,ego,82,0.743126,26.910019999207673,1,1
0000,ego,82,0.742504,36.11255794111428,1,1
0000,ego,83,0.776521,26.959921289773803,1,1
0000,ego,83,0.73497,36.27238114663711,1,1
0000,ego,84,0.816484,36.263230310074675,1,1
0000,ego,84,0.738771,27.20301490510475,1,1
0000,ego,85,0.767034,36.510977024051506,1,1
0000,ego,85,0.701713,27.293661667061482,1,1
0000,ego,85,0.227402,37.39736903149088,0,0
0000,ego,85,0.208014,37.25992481098076,0,0
0000,ego,86,0.76399,27.28715484600801,1,1
0000,ego,86,0.697448,36.67889340416715,1,1
0000,ego,86,0.244195,30.967989052359293,0,0
0000,ego,86,0.231943,38.93337501465315,0,0
0000,ego,87,0.680465,27.284630187027787,1,1
0000,ego,87,0.583124,36.90010159153598,1,1
0000,ego,87,0.272769,39.913324006813376,0,0
0000,ego,87,0.21935,29.22391020694173,0,0
0000,ego,88,0.663597,27.648745111688818,1,1
0000,ego,88,0.558866,36.930255281706614,1,1
0000,ego,88,0.283904,28.2844365718612,0,0
0000,ego,88,0.254785,28.450258010468445,0,0
0000,ego,89,0.719289,27.64338917777515,1,1
0000,ego,89,0.699029,37.48237973623825,1,1
0000,ego,89,0.258296,28.56798301464721,0,0
0000,ego,90,0.756432,37.561877033000286,1,1
0000,ego,90,0.681054,27.57183221145037,1,1
0000,ego,90,0.327305,29.028823377566294,0,0
0000,ego,90,0.265005,26.139096448807752,0,0
0000,ego,90,0.222656,34.43273631191464,0,0
0000,ego,91,0.75724,27.766080656021497,1,1
0000,ego,91,0.731742,37.587050463120434,1,1
0000,ego,91,0.329456,25.9905065378053,0,0
0000,ego,92,0.729927,37.92461450445298,1,1
0000,ego,92,0.662582,27.708387838219974,1,1
0000,ego,92,0.259317,24.627103210642463,0,0
0000,ego,93,0.740739,27.830831206350375,1,1
0000,ego,93,0.621534,38.122505124395225,1,1
0000,ego,93,0.240676,24.954009228983487,0,0
0000,ego,94,0.753252,27.834404550876354,1,1
0000,ego,94,0.673359,38.34611504809088,1,1
0000,ego,95,0.735951,27.94142267656688,1,1
0000,ego,95,0.521526,38.99515014747968,1,1
0000,ego,96,0.71806,28.119254571999292,1,1
0000,ego,96,0.614319,39.09270552390833,1,1
0000,ego,96,0.2478,24.89163485068829,0,0
0000,ego,97,0.68896,28.431695201398515,1,1
0000,ego,97,0.587038,39.13311319857659,1,1
0000,ego,97,0.208199,25.90872344333354,0,0
0000,ego,97,0.200751,32.967349242314356,0,0
0000,ego,97,0.200446,22.595805685045974,0,0
0000,ego,98,0.655717,28.326368344659436,1,1
0000,ego,98,0.592928,39.347379820252584,1,1
0000,ego,98,0.244288,21.044771775937985,0,0
0000,ego,98,0.223076,25.12227603058867,0,0
0000,ego,99,0.775069,39.629865238226614,1,1
0000,ego,99,0.663327,28.379114215527665,1,1
0000,ego,99,0.282128,38.453450730224354,0,0
0000,ego,100,0.697111,39.93697917759335,1,1
0000,ego,100,0.651389,28.276380254176864,1,1
0000,ego,100,0.418168,36.576452387042075,0,0
0000,ego,100,0.222087,18.47830148851552,0,0
0000,ego,100,0.203033,28.491459846364698,0,0
0000,ego,101,0.675594,28.40839243246126,1,1
0000,ego,101,0.317683,36.27886808532406,0,0
0000,ego,101,0.308347,30.01417469234325,0,0
0000,ego,102,0.563545,28.679701534385032,1,1
0000,ego,102,0.20322,37.10315076177723,0,0
0000,ego,103,0.525569,28.76199694248603,1,1
0000,ego,103,0.279757,38.10255298929604,0,0
0000,ego,103,0.252141,17.06294750797829,0,0
0000,ego,104,0.624268,28.6060586334846,1,1
0000,ego,104,0.303974,17.040170608997013,0,0
0000,ego,105,0.603154,28.715752523856015,1,1
0000,ego,105,0.243166,30.38426199256597,0,0
0000,ego,105,0.233402,17.407694081087538,0,0
0000,ego,106,0.604003,28.70964830396026,1,1
0000,ego,106,0.216285,18.00583723681032,0,0
0000,ego,107,0.521125,28.746642093759203,1,1
0000,ego,108,0.427968,28.785643916674537,1,1
0000,ego,108,0.283082,20.319705042752368,0,0
0000,ego,109,0.496793,28.698607854473916,1,1
0000,ego,109,0.242693,20.90192969686811,0,0
0000,ego,109,0.212672,20.590043989877657,0,0
0000,ego,110,0.46849,28.900019068996478,1,1
0000,ego,110,0.308034,23.740411419655832,0,0
0000,ego,110,0.274402,18.883539845277024,0,0
0000,ego,110,0.231171,22.539913615198174,0,0
0000,ego,110,0.214534,34.783453048596904,0,0
0000,ego,111,0.465908,28.904945453718742,1,1
0000,ego,111,0.22989,36.535131394860876,0,0
0000,ego,111,0.211569,16.488749879018723,0,0
0000,ego,111,0.204339,24.11212431685869,0,0
0000,ego,112,0.422681,28.96774206685895,1,1
0000,ego,112,0.242898,20.702691737724567,0,0
0000,ego,112,0.205737,24.075949884018303,0,0
0000,ego,113,0.452113,29.15362566751773,1,1
0000,ego,113,0.215452,12.822619771048076,0,0
0000,ego,114,0.44731,28.924292194373958,1,1
0000,ego,114,0.329496,11.489321731779688,0,0
0000,ego,114,0.293459,33.23025178172041,0,0
0000,ego,115,0.609778,39.28285772351916,1,1
0000,ego,115,0.391659,29.10957990717811,1,1
0000,ego,115,0.358283,17.964652253440505,0,0
0000,ego,115,0.25654,33.773076701498624,0,0
0000,ego,116,0.495334,37.748419403016065,1,1
0000,ego,116,0.359262,29.16384445664733,1,1
0000,ego,116,0.337295,34.167929300292165,0,0
0000,ego,116,0.243206,30.196617129221078,0,0
0000,ego,117,0.38067,28.797524175682618,1,1
0000,ego,117,0.248054,36.71925563612288,1,1
0000,ego,117,0.215361,34.39005891687848,0,0
0000,ego,118,0.398773,29.15962826266205,1,1
0000,ego,118,0.31277,35.36829400621417,0,0
0000,ego,118,0.241715,36.85419455968931,1,1
0000,ego,119,0.423808,35.79058144537617,0,0
0000,ego,119,0.348271,28.86290559025772,1,1
0000,ego,119,0.202618,37.79032167119044,1,1
0000,ego,120,0.499014,28.7883210317424,1,1
0000,ego,120,0.367378,36.65021981364688,0,0
0000,ego,120,0.31312,37.92356424842434,1,1
0000,ego,121,0.484153,37.16757370900633,0,0
0000,ego,121,0.468043,28.84461967252264,1,1
0000,ego,122,0.565226,28.6899919864813,1,1
0000,ego,122,0.547662,39.61518397414876,0,0
0000,ego,122,0.245322,37.99095300712329,0,0
0000,ego,123,0.53481,28.73539839352162,1,1
0000,ego,123,0.379127,38.17169240591746,0,0
0000,ego,124,0.528715,28.892648246186745,1,1
0000,ego,124,0.242668,38.75383340073219,0,0
0000,ego,125,0.555279,28.65569594272016,1,1
0000,ego,125,0.342394,39.45359124696145,0,0
0000,ego,126,0.560132,28.450830165729506,1,1
0000,ego,127,0.630173,28.260378727686877,1,1
0000,ego,128,0.553577,28.17240930456365,1,1
0000,ego,129,0.635529,28.19728336997505,1,1
0000,ego,129,0.523931,33.77151180838489,1,1
0000,ego,130,0.576026,32.67515840775274,1,1
0000,ego,130,0.555394,27.873232585957577,1,1
0000,ego,131,0.611556,27.693004737556304,1,1
0000,ego,131,0.606964,32.543509424101025,1,1
0000,ego,131,0.258797,21.16355141914679,0,0
0000,ego,132,0.719713,27.837934867262796,1,1
0000,ego,132,0.391658,33.21630952529178,1,1
0000,ego,133,0.725475,27.641048531341298,1,1
0000,ego,133,0.229256,34.667512495971515,1,1
0000,ego,134,0.613376,27.418311147692346,1,1
0000,ego,134,0.291226,36.776213266731254,1,1
0000,ego,134,0.245087,37.06579468814794,0,0
0000,ego,135,0.566873,27.41541172525828,1,1
0000,ego,135,0.453167,39.52783869528159,1,1
0000,ego,136,0.817431,27.110881529443397,1,1
0000,ego,137,0.74627,27.145352676524205,1,1
0000,ego,138,0.790928,26.82160424832996,1,1
0000,ego,139,0.812735,26.80116821199567,1,1
0000,ego,139,0.404363,37.70638054216578,0,0
0000,ego,140,0.812742,26.729973553090137,1,1
0000,ego,140,0.370027,35.587508064567274,0,0
0000,ego,141,0.7994,26.536873514502172,1,1
0000,ego,141,0.23419,33.41209711086495,0,0
0000,ego,142,0.790019,26.305689508412474,1,1
0000,ego,142,0.234006,31.350416011881308,0,0
0000,ego,143,0.814713,26.104755432173214,1,1
0000,ego,143,0.335988,38.52737511871969,0,0
0000,ego,144,0.667156,25.781237048327142,1,1
0000,ego,144,0.339715,35.341108768721234,0,0
0000,ego,145,0.718457,25.718671340456652,1,1
0000,ego,145,0.345669,31.95830252431193,0,0
0000,ego,146,0.758893,25.68086279280094,1,1
0000,ego,146,0.301081,30.097589432445016,0,0
0000,ego,146,0.275233,17.217409726999733,0,0
0000,ego,146,0.216297,32.59123343634814,0,0
0000,1,0,0.381527,27.56234160105614,0,0
0000,1,0,0.291409,22.35284912120653,0,0
0000,1,0,0.278157,31.599739081498047,0,0
0000,1,0,0.205115,36.32285956260626,0,0
0000,1,1,0.419904,28.51430395288728,1,1
0000,1,1,0.276233,20.851009899140674,0,0
0000,1,1,0.228846,32.17607974055367,0,0
0000,1,2,0.349878,38.26039566900527,0,0
0000,1,2,0.326992,29.590596467386764,1,1
0000,1,2,0.212653,36.24274242333958,0,0
0000,1,3,0.370639,39.457558247626835,0,0
0000,1,3,0.318555,34.01464250111446,0,1
0000,1,4,0.294083,30.841321891659437,1,1
0000,1,4,0.203175,32.40322513057883,0,0
0000,1,5,0.440662,31.501756613014493,1,1
0000,1,6,0.445231,32.23458480928287,1,1
0000,1,7,0.588097,32.46554522768977,1,1
0000,1,8,0.265542,33.52727434704531,1,1
0000,1,8,0.246438,30.37340279994321,0,0
0000,1,9,0.468786,34.39214438674716,1,1
0000,1,9,0.245484,30.344129307929464,0,0
0000,1,10,0.463078,34.425699227681505,1,1
0000,1,10,0.270859,30.294063089843114,0,0
0000,1,11,0.209356,35.1882027504282,1,1
0000,1,12,0.522114,35.92304394523458,1,1
0000,1,13,0.370218,36.41682221687528,1,1
0000,1,13,0.237134,39.74138968195563,0,0
0000,1,14,0.492935,37.09268730156259,1,1
0000,1,15,0.348613,37.5711596211104,1,1
0000,1,15,0.220965,34.9862409519199,0,0
0000,1,16,0.603639,38.17649954961389,1,1
0000,1,17,0.313913,39.04106862194731,1,1
0000,1,17,0.283686,39.051282823851096,0,0
0000,1,18,0.501856,39.399786121025876,1,1
0000,1,19,0.497639,39.81922446342457,1,1
0000,1,25,0.252146,34.987181001026926,0,0
0000,1,30,0.293375,38.04774763853843,0,0
0000,1,31,0.293479,35.80524265643486,0,0
0000,1,32,0.357421,34.26365345533147,0,0
0000,1,33,0.254887,32.94695276957455,0,0
0000,1,34,0.233291,36.258467992044764,0,0
0000,1,35,0.260293,33.93367677331708,0,0
0000,1,36,0.25028,32.45223255692754,0,0
0000,1,43,0.296631,39.193451406288496,0,0
0000,1,44,0.241152,37.36180456768536,0,0
0000,1,48,0.24015,14.772684047824846,0,0
0000,1,48,0.212668,30.259258086955306,0,0
0000,1,48,0.200382,27.762348568972193,0,0
0000,1,49,0.21055,28.56829601909624,0,0
0000,1,50,0.231401,26.61200508806662,0,0
0000,1,52,0.678361,21.1484151020651,1,1
0000,1,53,0.529595,21.3910484927033,1,1
0000,1,53,0.239359,36.2542569513341,0,0
0000,1,54,0.661015,21.29917747474162,1,1
0000,1,55,0.664068,21.475065708599224,1,1
0000,1,56,0.821753,21.42919369877642,1,1
0000,1,57,0.770432,21.486757474264223,1,1
0000,1,58,0.657822,21.493783989635407,1,1
0000,1,59,0.547862,21.61843210137956,1,1
0000,1,60,0.762023,21.67416747512697,1,1
0000,1,61,0.849044,21.6451877805869,1,1
0000,1,62,0.860842,21.928268699098478,1,1
0000,1,63,0.85302,21.907102043326404,1,1
0000,1,64,0.689275,22.049801689253528,1,1
0000,1,65,0.735072,22.127358042706007,1,1
0000,1,65,0.201976,25.023911380031723,0,0
0000,1,66,0.66814,22.119484484117734,1,1
0000,1,67,0.833489,22.3297976759687,1,1
0000,1,67,0.239589,25.637643138103712,0,0
0000,1,68,0.834388,22.48228529588586,1,1
0000,1,69,0.847951,22.544714823270134,1,1
0000,1,70,0.758272,22.572997531283914,1,1
0000,1,70,0.225353,36.84829481491993,0,0
0000,1,71,0.822784,22.856219258333475,1,1
0000,1,71,0.29364,26.110339035039623,0,0
0000,1,72,0.799985,22.8190469648542,1,1
0000,1,72,0.277986,33.03062883475087,0,0
0000,1,72,0.236849,25.99004638274984,0,0
0000,1,73,0.74624,23.031783642222187,1,1
0000,1,74,0.802938,22.96293064561844,1,1
0000,1,75,0.786041,23.17672714720844,1,1
0000,1,76,0.762842,23.227682742795086,1,1
0000,1,77,0.759691,23.47650467940555,1,1
0000,1,78,0.840775,23.50801960723315,1,1
0000,1,78,0.214143,27.460261809950634,0,0
0000,1,79,0.836316,23.576863256971595,1,1
0000,1,79,0.213344,27.373714965738255,0,0
0000,1,80,0.773843,23.871929441838176,1,1
0000,1,81,0.748135,23.842516381964977,1,1
0000,1,82,0.794111,23.92361132545624,1,1
0000,1,83,0.707054,24.04667869567369,1,1
0000,1,84,0.802273,24.372836882573846,1,1
0000,1,84,0.228554,28.432238253135672,0,0
0000,1,85,0.83131,24.355948365261117,1,1
0000,1,85,0.224636,29.327191668480296,0,0
0000,1,86,0.871773,24.75717007063099,1,1
0000,1,87,0.846772,24.79143873829851,1,1
0000,1,88,0.755803,25.04794240012526,1,1
0000,1,88,0.209453,29.57806925085254,0,0
0000,1,89,0.631168,25.096131690800433,1,1
0000,1,89,0.213582,36.90358832593672,0,0
0000,1,90,0.732708,25.083668096711314,1,1
0000,1,91,0.784038,25.507866090647163,1,1
0000,1,92,0.824548,25.608417054677975,1,1
0000,1,93,0.831723,25.89452774642897,1,1
0000,1,93,0.263435,30.532404324778348,0,0
0000,1,94,0.873163,25.97204327431742,1,1
0000,1,95,0.873469,26.20099837140152,1,1
0000,1,96,0.846096,26.27255129214442,1,1
0000,1,97,0.646854,26.615714299290858,1,1
0000,1,98,0.774324,26.87767143709528,1,1
0000,1,99,0.811508,26.934982900147347,1,1
0000,1,100,0.696449,27.185276492229903,1,1
0000,1,101,0.75255,27.298290439429604,1,1
0000,1,102,0.731363,27.43673382775769,1,1
0000,1,103,0.634132,27.639126454582,1,1
0000,1,104,0.624206,27.76585972173929,1,1
0000,1,105,0.598927,27.93388840417566,1,1
0000,1,106,0.688951,28.18102879692519,1,1
0000,1,107,0.768961,28.280725439104504,1,1
0000,1,108,0.78175,28.336130276463035,1,1
0000,1,109,0.776671,28.64953974807021,1,1
0000,1,110,0.805919,28.976659504224735,1,1
0000,1,111,0.801958,29.11350814336247,1,1
0000,1,112,0.768951,29.408099860381864,1,1
0000,1,113,0.648787,29.711833932659978,1,1
0000,1,113,0.22274,39.96337595366239,0,0
0000,1,114,0.735483,29.754897938712762,1,1
0000,1,114,0.246108,36.911175355231784,0,0
0000,1,115,0.773314,29.844531205220726,1,1
0000,1,115,0.275904,35.68374844136189,0,0
0000,1,116,0.760034,29.905092429770814,1,1
0000,1,116,0.40056,27.620986212408727,0,0
0000,1,116,0.270667,34.31878552309935,0,0
0000,1,117,0.799651,30.217476646685725,1,1
0000,1,117,0.372573,27.42263246262609,0,0
0000,1,118,0.773505,30.44616542518947,1,1
0000,1,118,0.20122,28.05355818470592,0,0
0000,1,119,0.798889,30.650134163803127,1,1
0000,1,120,0.721946,30.852744008063077,1,1
0000,1,121,0.617748,31.31837529660034,1,1
0000,1,122,0.717928,31.346580835696876,1,1
0000,1,123,0.737911,31.391849246575934,1,1
0000,1,124,0.781007,31.43761068519461,1,1
0000,1,124,0.252674,38.83872996523368,0,0
0000,1,125,0.765642,31.522566468051046,1,1
0000,1,126,0.788353,31.609426082039445,1,1
0000,1,126,0.289624,29.217579648043348,0,0
0000,1,127,0.845263,31.79679758019566,1,1
0000,1,128,0.814552,32.12766103602034,1,1
0000,1,128,0.293336,39.539392487847294,0,0
0000,1,129,0.816512,32.22829058276026,1,1
0000,1,130,0.819341,32.246743075925615,1,1
0000,1,131,0.778802,32.42236809407669,1,1
0000,1,132,0.70048,32.56863485335219,1,1
0000,1,133,0.711702,32.90615695392042,1,1
0000,1,134,0.785955,32.94992646919244,1,1
0000,1,135,0.798595,33.04779885826189,1,1
0000,1,136,0.812981,33.02015890770778,1,1
0000,1,137,0.842287,33.20144052369239,1,1
0000,1,138,0.866055,33.277879908687616,1,1
0000,1,139,0.889277,33.47998608009858,1,1
0000,1,140,0.886676,33.64900664050931,1,1
0000,1,141,0.874359,33.62952304238634,1,1
0000,1,142,0.776479,33.80205448450071,1,1
0000,1,143,0.703331,33.97626740331081,1,1
0000,1,143,0.236196,37.309876485084075,0,0
0000,1,144,0.505725,33.947077381505245,1,1
0000,1,145,0.578551,34.03709452818927,1,1
0000,1,145,0.231714,39.05154833753529,0,0
0000,1,146,0.669715,34.26075577502705,1,1
0000,1,146,0.216322,38.74794277661617,0,0
0001,ego,0,0.312589,29.67482247668169,0,0
0001,ego,0,0.250776,39.33117141403451,0,0
0001,ego,0,0.23388,22.829677667117917,0,0
0001,ego,3,0.31373,5.863941106368864,0,0
0001,ego,3,0.284404,36.405015158151464,0,0
0001,ego,3,0.200872,30.409165202373337,0,0
0001,ego,5,0.303597,31.660442724008206,0,0
0001,ego,5,0.248201,8.255310705618552,0,0
0001,ego,6,0.230398,36.15310437095271,1,1
0001,ego,7,0.2652,33.168351375379544,1,1
0001,ego,8,0.448636,30.50571942725634,1,1
