panel,condition,term,value,sequence,frame,robot,arm,selected
b,reliable,existence_probability,0.9967468677919806,v2xt_0001,24,1,marked_lineage,True
b,reliable,existence_probability,0.997276692382006,v2xt_0001,25,1,marked_lineage,True
b,reliable,existence_probability,0.9977014967518651,v2xt_0001,26,1,marked_lineage,True
b,reliable,existence_probability,0.9977879039384208,v2xt_0001,27,1,marked_lineage,True
b,reliable,existence_probability,0.9972240270596996,v2xt_0001,28,1,marked_lineage,True
b,reliable,existence_probability,0.997477934466898,v2xt_0001,29,1,marked_lineage,True
b,reliable,existence_probability,0.9975780464858102,v2xt_0001,30,1,marked_lineage,True
b,reliable,existence_probability,0.9975249856760053,v2xt_0001,31,1,marked_lineage,True
b,reliable,existence_probability,0.997243797608878,v2xt_0001,32,1,marked_lineage,True
b,reliable,existence_probability,0.997441842489129,v2xt_0001,33,1,marked_lineage,True
b,reliable,existence_probability,0.997736808186336,v2xt_0001,34,1,marked_lineage,True
b,reliable,existence_probability,0.9971797921342311,v2xt_0001,35,1,marked_lineage,True
b,reliable,existence_probability,0.9973860584125079,v2xt_0001,36,1,marked_lineage,True
b,reliable,existence_probability,0.9978327432232141,v2xt_0001,37,1,marked_lineage,True
b,reliable,existence_probability,0.9975045495988473,v2xt_0001,38,1,marked_lineage,True
b,reliable,existence_probability,0.9974701323531814,v2xt_0001,39,1,marked_lineage,True
b,reliable,existence_probability,0.9976882675125034,v2xt_0001,40,1,marked_lineage,True
b,reliable,existence_probability,0.9972663913849519,v2xt_0001,41,1,marked_lineage,True
b,reliable,existence_probability,0.9972961528718993,v2xt_0001,42,1,marked_lineage,True
b,reliable,existence_probability,0.9975363301481188,v2xt_0001,43,1,marked_lineage,True
b,reliable,existence_probability,0.9977297780204325,v2xt_0001,44,1,marked_lineage,True
b,reliable,existence_probability,0.9931860676638484,v2xt_0001,45,1,marked_lineage,True
b,reliable,existence_probability,0.9895610212297214,v2xt_0001,46,1,marked_lineage,True
b,reliable,existence_probability,0.9867613828170859,v2xt_0001,47,1,marked_lineage,True
b,reliable,existence_probability,0.984172077025518,v2xt_0001,48,1,marked_lineage,True
b,reliable,existence_probability,0.9857437803365199,v2xt_0001,49,1,marked_lineage,True
b,reliable,existence_probability,0.9825745843616744,v2xt_0001,50,1,marked_lineage,True
b,reliable,existence_probability,0.9830227320754552,v2xt_0001,51,1,marked_lineage,True
b,reliable,existence_probability,0.9821298710851247,v2xt_0001,52,1,marked_lineage,True
b,reliable,existence_probability,0.981249028424232,v2xt_0001,53,1,marked_lineage,True
b,reliable,existence_probability,0.9830490419779248,v2xt_0001,54,1,marked_lineage,True
b,reliable,existence_probability,0.9840524143846792,v2xt_0001,55,1,marked_lineage,True
b,reliable,existence_probability,0.9851686320558634,v2xt_0001,56,1,marked_lineage,True
b,reliable,existence_probability,0.9842502930586331,v2xt_0001,57,1,marked_lineage,True
b,reliable,existence_probability,0.9852471553701918,v2xt_0001,58,1,marked_lineage,True
b,reliable,existence_probability,0.9828201794013695,v2xt_0001,59,1,marked_lineage,True
b,reliable,existence_probability,0.9848986600297652,v2xt_0001,60,1,marked_lineage,True
b,reliable,existence_probability,0.982405265514312,v2xt_0001,61,1,marked_lineage,True
b,reliable,existence_probability,0.9821715081958743,v2xt_0001,62,1,marked_lineage,True
b,reliable,existence_probability,0.98345590398892,v2xt_0001,63,1,marked_lineage,True
b,reliable,existence_probability,0.9813160028028493,v2xt_0001,64,1,marked_lineage,True
b,reliable,existence_probability,0.979084332504446,v2xt_0001,65,1,marked_lineage,True
b,reliable,existence_probability,0.9794707551850668,v2xt_0001,66,1,marked_lineage,True
b,reliable,existence_probability,0.9757940338086583,v2xt_0001,67,1,marked_lineage,True
b,reliable,existence_probability,0.9759021921344812,v2xt_0001,68,1,marked_lineage,True
b,reliable,existence_probability,0.9739059270989072,v2xt_0001,69,1,marked_lineage,True
b,reliable,existence_probability,0.974010860025856,v2xt_0001,70,1,marked_lineage,True
b,reliable,existence_probability,0.9742065214369628,v2xt_0001,71,1,marked_lineage,True
b,reliable,existence_probability,0.9773562204844526,v2xt_0001,72,1,marked_lineage,True
b,reliable,existence_probability,0.969709304563845,v2xt_0001,73,1,marked_lineage,True
b,reliable,existence_probability,0.9686114032413771,v2xt_0001,74,1,marked_lineage,True
b,reliable,existence_probability,0.9645418814385457,v2xt_0001,75,1,marked_lineage,True
b,reliable,existence_probability,0.9633284111732624,v2xt_0001,76,1,marked_lineage,True
b,reliable,existence_probability,0.9596847176642058,v2xt_0001,77,1,marked_lineage,True
b,reliable,existence_probability,0.9582720775316674,v2xt_0001,78,1,marked_lineage,True
b,reliable,existence_probability,0.9609504136617179,v2xt_0001,79,1,marked_lineage,True
b,reliable,existence_probability,0.9505082626429274,v2xt_0001,80,1,marked_lineage,True
b,reliable,existence_probability,0.9492796543746009,v2xt_0001,81,1,marked_lineage,True
b,reliable,existence_probability,0.946929884448999,v2xt_0001,82,1,marked_lineage,True
b,reliable,existence_probability,0.9560454117596193,v2xt_0001,83,1,marked_lineage,True
b,reliable,existence_probability,0.9566223289830914,v2xt_0001,84,1,marked_lineage,True
b,reliable,existence_probability,0.9705107114837003,v2xt_0001,85,1,marked_lineage,True
b,reliable,existence_probability,0.9713539444745503,v2xt_0001,86,1,marked_lineage,True
b,reliable,existence_probability,0.9675995035408416,v2xt_0001,87,1,marked_lineage,True
b,reliable,existence_probability,0.9638933391195955,v2xt_0001,88,1,marked_lineage,True
b,reliable,existence_probability,0.9494036418575617,v2xt_0001,89,1,marked_lineage,True
b,reliable,existence_probability,0.9369700813421986,v2xt_0001,90,1,marked_lineage,True
b,reliable,existence_probability,0.9484342881307118,v2xt_0001,91,1,marked_lineage,True
b,reliable,existence_probability,0.9669074209493881,v2xt_0001,92,1,marked_lineage,True
b,reliable,existence_probability,0.9726599402511013,v2xt_0001,93,1,marked_lineage,True
b,reliable,existence_probability,0.9642407397920892,v2xt_0001,94,1,marked_lineage,True
b,reliable,existence_probability,0.9765811018966752,v2xt_0001,95,1,marked_lineage,True
b,reliable,existence_probability,0.9786871984763176,v2xt_0001,96,1,marked_lineage,True
b,reliable,existence_probability,0.9724568607946596,v2xt_0001,97,1,marked_lineage,True
b,reliable,existence_probability,0.9718164084369567,v2xt_0001,98,1,marked_lineage,True
b,reliable,existence_probability,0.9764727579579183,v2xt_0001,99,1,marked_lineage,True
b,reliable,existence_probability,0.9816870840589843,v2xt_0001,100,1,marked_lineage,True
b,reliable,existence_probability,0.9814354139759058,v2xt_0001,101,1,marked_lineage,True
b,reliable,existence_probability,0.9720366106196654,v2xt_0001,102,1,marked_lineage,True
b,reliable,existence_probability,0.9863412730796328,v2xt_0001,103,1,marked_lineage,True
b,reliable,existence_probability,0.9773835119530361,v2xt_0001,104,1,marked_lineage,True
b,reliable,existence_probability,0.9791840312464687,v2xt_0001,105,1,marked_lineage,True
b,reliable,existence_probability,0.9708777139992048,v2xt_0001,106,1,marked_lineage,True
b,reliable,existence_probability,0.9756200660443833,v2xt_0001,107,1,marked_lineage,True
b,reliable,existence_probability,0.9673541453334981,v2xt_0001,108,1,marked_lineage,True
b,reliable,existence_probability,0.9657423256748301,v2xt_0001,109,1,marked_lineage,True
b,reliable,existence_probability,0.9666183376329253,v2xt_0001,110,1,marked_lineage,True
b,reliable,existence_probability,0.9696337074385083,v2xt_0001,111,1,marked_lineage,True
b,reliable,existence_probability,0.9619275583198504,v2xt_0001,112,1,marked_lineage,True
b,reliable,existence_probability,0.9642808746510971,v2xt_0001,113,1,marked_lineage,True
b,reliable,existence_probability,0.9677059938982713,v2xt_0001,114,1,marked_lineage,True
b,reliable,existence_probability,0.9595474040552934,v2xt_0001,115,1,marked_lineage,True
b,reliable,existence_probability,0.9398452019448866,v2xt_0001,116,1,marked_lineage,True
b,reliable,existence_probability,0.9383064643382508,v2xt_0001,117,1,marked_lineage,True
b,reliable,existence_probability,0.9185077048629754,v2xt_0001,118,1,marked_lineage,True
b,reliable,existence_probability,0.8980862017459763,v2xt_0001,119,1,marked_lineage,True
b,reliable,existence_probability,0.9224198810694909,v2xt_0001,120,1,marked_lineage,True
b,reliable,existence_probability,0.9169672125256173,v2xt_0001,121,1,marked_lineage,True
b,reliable,existence_probability,0.6932274976562702,v2xt_0001,122,1,marked_lineage,True
b,reliable,existence_probability,0.9505559051543534,v2xt_0001,123,1,marked_lineage,True
b,reliable,existence_probability,0.9954454077774666,v2xt_0001,124,1,marked_lineage,True
b,reliable,existence_probability,0.9985254247351402,v2xt_0001,125,1,marked_lineage,True
b,reliable,existence_probability,0.998710052600953,v2xt_0001,126,1,marked_lineage,True
b,reliable,existence_probability,0.9069710137977326,v2xt_0001,127,1,marked_lineage,True
b,reliable,existence_probability,0.8721117267617412,v2xt_0001,128,1,marked_lineage,True
b,reliable,existence_probability,0.4800351954509108,v2xt_0001,129,1,marked_lineage,True
b,reliable,existence_probability,0.45555824925479727,v2xt_0001,130,1,marked_lineage,True
b,reliable,existence_probability,0.4188952044763807,v2xt_0001,131,1,marked_lineage,True
b,reliable,existence_probability,0.3934975115301825,v2xt_0001,132,1,marked_lineage,True
b,reliable,existence_probability,0.3465423948674887,v2xt_0001,133,1,marked_lineage,True
b,reliable,existence_probability,0.30913237431038454,v2xt_0001,134,1,marked_lineage,False
b,reliable,existence_probability,0.13802244361236937,v2xt_0001,135,1,marked_lineage,False
b,reliable,existence_probability,0.10785389331672747,v2xt_0001,136,1,marked_lineage,False
b,reliable,existence_probability,0.06319703454724339,v2xt_0001,137,1,marked_lineage,False
b,reliable,existence_probability,0.05274783957246868,v2xt_0001,138,1,marked_lineage,False
b,reliable,existence_probability,0.04740044520288249,v2xt_0001,139,1,marked_lineage,False
b,reliable,existence_probability,0.05569069407880331,v2xt_0001,140,1,marked_lineage,False
b,reliable,existence_probability,0.07660966752422992,v2xt_0001,141,1,marked_lineage,False
b,reliable,existence_probability,0.05507799389730102,v2xt_0001,142,1,marked_lineage,False
b,reliable,existence_probability,0.04448028574407824,v2xt_0001,143,1,marked_lineage,False
b,reliable,existence_probability,0.039359497691349096,v2xt_0001,144,1,marked_lineage,False
b,reliable,existence_probability,0.031090340132258223,v2xt_0001,145,1,marked_lineage,False
b,reliable,existence_probability,0.02270562351714461,v2xt_0001,146,1,marked_lineage,False
b,reliable,existence_probability,0.01963044167265528,v2xt_0001,147,1,marked_lineage,False
b,reliable,existence_probability,0.030772866419427714,v2xt_0001,148,1,marked_lineage,False
b,reliable,existence_probability,0.04750602731290256,v2xt_0001,149,1,marked_lineage,False
b,reliable,existence_probability,0.024651669519128377,v2xt_0001,150,1,marked_lineage,False
b,reliable,existence_probability,0.015333393156899857,v2xt_0001,151,1,marked_lineage,False
b,reliable,existence_probability,0.009329502744582954,v2xt_0001,152,1,marked_lineage,False
b,reliable,existence_probability,0.006521667007255785,v2xt_0001,153,1,marked_lineage,False
b,reliable,existence_probability,0.004651992676231528,v2xt_0001,154,1,marked_lineage,False
b,reliable,existence_probability,0.003330613191764317,v2xt_0001,155,1,marked_lineage,False
b,reliable,existence_probability,0.004034920066162884,v2xt_0001,156,1,marked_lineage,False
b,reliable,existence_probability,0.003552189991464286,v2xt_0001,157,1,marked_lineage,False
b,reliable,existence_probability,0.003913724515887655,v2xt_0001,158,1,marked_lineage,False
b,reliable,existence_probability,0.003701053349394626,v2xt_0001,159,1,marked_lineage,False
b,reliable,existence_probability,0.003580626672978916,v2xt_0001,160,1,marked_lineage,False
b,reliable,existence_probability,0.003732013462098456,v2xt_0001,161,1,marked_lineage,False
b,reliable,existence_probability,0.003740566591232681,v2xt_0001,162,1,marked_lineage,False
b,reliable,existence_probability,0.0034015712870067256,v2xt_0001,163,1,marked_lineage,False
b,reliable,existence_probability,0.0035563049768428437,v2xt_0001,164,1,marked_lineage,False
b,reliable,existence_probability,0.0037664296466107246,v2xt_0001,165,1,marked_lineage,False
b,reliable,existence_probability,0.0033405243870740535,v2xt_0001,166,1,marked_lineage,False
b,reliable,existence_probability,0.0033530913413422295,v2xt_0001,167,1,marked_lineage,False
b,reliable,existence_probability,0.0032488451951074027,v2xt_0001,168,1,marked_lineage,False
b,reliable,existence_probability,0.0032933490821268,v2xt_0001,169,1,marked_lineage,False
b,reliable,existence_probability,0.0031837269385544833,v2xt_0001,170,1,marked_lineage,False
b,reliable,existence_probability,0.0031639931616578862,v2xt_0001,171,1,marked_lineage,False
b,reliable,existence_probability,0.0032335516272808994,v2xt_0001,172,1,marked_lineage,False
b,reliable,existence_probability,0.0033056157176066473,v2xt_0001,173,1,marked_lineage,False
b,reliable,existence_probability,0.00306313809407419,v2xt_0001,174,1,marked_lineage,False
b,reliable,existence_probability,0.0030151932902631267,v2xt_0001,175,1,marked_lineage,False
b,reliable,existence_probability,0.0029627238781950345,v2xt_0001,176,1,marked_lineage,False
b,reliable,existence_probability,0.003009625709531185,v2xt_0001,177,1,marked_lineage,False
b,reliable,existence_probability,0.00303786114441318,v2xt_0001,178,1,marked_lineage,False
b,reliable,existence_probability,0.0028975616007352405,v2xt_0001,179,1,marked_lineage,False
b,reliable,existence_probability,0.0030378980560193526,v2xt_0001,180,1,marked_lineage,False
b,reliable,existence_probability,0.0030959997646048875,v2xt_0001,181,1,marked_lineage,False
b,reliable,existence_probability,0.003052943890625326,v2xt_0001,182,1,marked_lineage,False
b,reliable,existence_probability,0.003212882920585352,v2xt_0001,183,1,marked_lineage,False
b,reliable,existence_probability,0.003006811330577082,v2xt_0001,184,1,marked_lineage,False
b,reliable,existence_probability,0.0029906606580866095,v2xt_0001,185,1,marked_lineage,False
b,reliable,existence_probability,0.003056278811503194,v2xt_0001,186,1,marked_lineage,False
b,reliable,existence_probability,0.0034335534309300354,v2xt_0001,187,1,marked_lineage,False
b,reliable,existence_probability,0.008114659984257285,v2xt_0001,188,1,marked_lineage,False
b,reliable,existence_probability,0.0033335319920997585,v2xt_0001,189,1,marked_lineage,False
b,reliable,existence_probability,0.0019891681708637935,v2xt_0001,190,1,marked_lineage,False
b,reliable,existence_probability,0.002836427193754046,v2xt_0001,191,1,marked_lineage,False
b,reliable,existence_probability,0.0030017001377060904,v2xt_0001,192,1,marked_lineage,False
b,reliable,existence_probability,0.00249460800165971,v2xt_0001,193,1,marked_lineage,False
b,reliable,existence_probability,0.003308614385318171,v2xt_0001,194,1,marked_lineage,False
b,reliable,existence_probability,0.0028999172925513435,v2xt_0001,195,1,marked_lineage,False
b,reliable,existence_probability,0.002928283049891858,v2xt_0001,196,1,marked_lineage,False
b,reliable,existence_probability,0.0030509427690253504,v2xt_0001,197,1,marked_lineage,False
b,reliable,existence_probability,0.0030073901978340655,v2xt_0001,198,1,marked_lineage,False
b,reliable,existence_probability,0.003120162121481864,v2xt_0001,199,1,marked_lineage,False
b,reliable,existence_probability,0.0028998934516700583,v2xt_0001,200,1,marked_lineage,False
b,reliable,existence_probability,0.0032107679105652263,v2xt_0001,201,1,marked_lineage,False
b,reliable,existence_probability,0.002920264549239709,v2xt_0001,202,1,marked_lineage,False
b,reliable,existence_probability,0.003027217022750881,v2xt_0001,203,1,marked_lineage,False
b,reliable,existence_probability,0.0028782642760566313,v2xt_0001,204,1,marked_lineage,False
b,reliable,existence_probability,0.0029503109410827866,v2xt_0001,205,1,marked_lineage,False
b,reliable,existence_probability,0.002926926203681213,v2xt_0001,206,1,marked_lineage,False
b,reliable,existence_probability,0.00287604617487113,v2xt_0001,207,1,marked_lineage,False
b,reliable,existence_probability,0.0029452855653139226,v2xt_0001,208,1,marked_lineage,False
b,reliable,existence_probability,0.002908432800033418,v2xt_0001,209,1,marked_lineage,False
b,reliable,existence_probability,0.0028298928615109738,v2xt_0001,210,1,marked_lineage,False
b,reliable,existence_probability,0.002857747067675083,v2xt_0001,211,1,marked_lineage,False
b,reliable,existence_probability,0.0029110960587492764,v2xt_0001,212,1,marked_lineage,False
b,reliable,existence_probability,0.003010442364489072,v2xt_0001,213,1,marked_lineage,False
b,reliable,existence_probability,0.0028970787978458245,v2xt_0001,214,1,marked_lineage,False
b,reliable,existence_probability,0.002878987758947153,v2xt_0001,215,1,marked_lineage,False
b,reliable,existence_probability,0.002864814988470854,v2xt_0001,216,1,marked_lineage,False
b,reliable,existence_probability,0.002892824043108524,v2xt_0001,217,1,marked_lineage,False
b,reliable,existence_probability,0.002836970654578366,v2xt_0001,218,1,marked_lineage,False
b,reliable,existence_probability,0.0028386458173596334,v2xt_0001,219,1,marked_lineage,False
b,reliable,existence_probability,0.002900922576859692,v2xt_0001,220,1,marked_lineage,False
b,reliable,existence_probability,0.0028939055702327803,v2xt_0001,221,1,marked_lineage,False
b,reliable,existence_probability,0.0028649468361251675,v2xt_0001,222,1,marked_lineage,False
b,reliable,existence_probability,0.0028465204075905914,v2xt_0001,223,1,marked_lineage,False
b,reliable,existence_probability,0.0027645833633515,v2xt_0001,224,1,marked_lineage,False
b,reliable,existence_probability,0.0028238250977532255,v2xt_0001,225,1,marked_lineage,False
b,reliable,existence_probability,0.0028225500692128764,v2xt_0001,226,1,marked_lineage,False
b,reliable,existence_probability,0.002882093538538446,v2xt_0001,227,1,marked_lineage,False
b,reliable,existence_probability,0.0028192192840043773,v2xt_0001,228,1,marked_lineage,False
b,reliable,existence_probability,0.0028218512523763605,v2xt_0001,229,1,marked_lineage,False
b,reliable,existence_probability,0.00282848451813926,v2xt_0001,230,1,marked_lineage,False
b,reliable,existence_probability,0.0027462346333619065,v2xt_0001,231,1,marked_lineage,False
b,reliable,existence_probability,0.002785776981084243,v2xt_0001,232,1,marked_lineage,False
b,reliable,existence_probability,0.0028234827110094262,v2xt_0001,233,1,marked_lineage,False
b,reliable,existence_probability,0.002725307880832818,v2xt_0001,234,1,marked_lineage,False
b,reliable,existence_probability,0.002769437262631319,v2xt_0001,235,1,marked_lineage,False
b,reliable,existence_probability,0.0027957488692716696,v2xt_0001,236,1,marked_lineage,False
b,reliable,existence_probability,0.002679678410255067,v2xt_0001,237,1,marked_lineage,False
b,reliable,existence_probability,0.002773251116749125,v2xt_0001,238,1,marked_lineage,False
b,reliable,existence_probability,0.002743469556739715,v2xt_0001,239,1,marked_lineage,False
b,reliable,existence_probability,0.002764655251431155,v2xt_0001,240,1,marked_lineage,False
b,reliable,existence_probability,,v2xt_0001,1,1,marked_gaussian_evidence,False
b,reliable,existence_probability,,v2xt_0001,2,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.01103786738763042,v2xt_0001,3,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.0075715592092868425,v2xt_0001,4,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.009674220161564074,v2xt_0001,5,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.010343591361802549,v2xt_0001,6,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.0029330616297750032,v2xt_0001,7,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.004702775726549109,v2xt_0001,8,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.00570564602281919,v2xt_0001,9,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.007429875547247513,v2xt_0001,10,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.007313970959514737,v2xt_0001,11,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.0081980353328458,v2xt_0001,12,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.007890377777603515,v2xt_0001,13,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.020472751625394362,v2xt_0001,14,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.04366502182099214,v2xt_0001,15,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.08928556789934146,v2xt_0001,16,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.17509097792041328,v2xt_0001,17,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.3244741417232502,v2xt_0001,18,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.5315362874280165,v2xt_0001,19,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.7784091729364798,v2xt_0001,20,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.9190862115974582,v2xt_0001,21,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.9797937037892,v2xt_0001,22,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.9936098682738692,v2xt_0001,23,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.9968985719366519,v2xt_0001,24,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.9973238301860681,v2xt_0001,25,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.9977261123327027,v2xt_0001,26,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.997805720905605,v2xt_0001,27,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.9972417236172133,v2xt_0001,28,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.9974934563366791,v2xt_0001,29,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.997590960241634,v2xt_0001,30,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.9975354741907847,v2xt_0001,31,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.9972525379412945,v2xt_0001,32,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.9974494598474307,v2xt_0001,33,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.9977434288994498,v2xt_0001,34,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.9971853426199342,v2xt_0001,35,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.9973918785905362,v2xt_0001,36,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.9978393981446194,v2xt_0001,37,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.9975103993123313,v2xt_0001,38,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.9974737889450377,v2xt_0001,39,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.9976942914130486,v2xt_0001,40,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.9972718322276465,v2xt_0001,41,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.9972996221416118,v2xt_0001,42,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.997541712660661,v2xt_0001,43,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.9977357808490572,v2xt_0001,44,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.9827572357561368,v2xt_0001,45,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.9577436130725089,v2xt_0001,46,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.9169979419645273,v2xt_0001,47,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.8495927401752679,v2xt_0001,48,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.7893177199098065,v2xt_0001,49,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.6587348997038929,v2xt_0001,50,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.5384382352847037,v2xt_0001,51,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.3953932697434879,v2xt_0001,52,1,marked_gaussian_evidence,True
b,reliable,existence_probability,0.261401544575907,v2xt_0001,53,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.16962237842944403,v2xt_0001,54,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.095391517392623,v2xt_0001,55,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.04385664506162759,v2xt_0001,56,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.01443409714159892,v2xt_0001,57,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.003707577251425674,v2xt_0001,58,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.0035951315461021714,v2xt_0001,59,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.0037030182638852784,v2xt_0001,60,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.003688233814061367,v2xt_0001,61,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.003690545202483688,v2xt_0001,62,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.0037647896038037064,v2xt_0001,63,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.003700272748973731,v2xt_0001,64,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.0037045225724031505,v2xt_0001,65,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.003755152488186084,v2xt_0001,66,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.003674416903046864,v2xt_0001,67,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.003644109968601278,v2xt_0001,68,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.0036068964708584486,v2xt_0001,69,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.003587441595196452,v2xt_0001,70,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.0035639099611903375,v2xt_0001,71,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.0035709433365711672,v2xt_0001,72,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.0034377137825935384,v2xt_0001,73,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.0034484337269397895,v2xt_0001,74,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.003378043426721683,v2xt_0001,75,1,marked_gaussian_evidence,False
b,reliable,existence_probability,0.0033166500459102808,v2xt_0001,76,1,marked_gaussian_evidence,False
