POSE INPUT VERIFIED seen_transfer {'sequence': '0001', 'scene': 'testoutput_CAV_data_2022-03-15-09-54-40_1', 'frames': 405, 'raw_frame_first': '000000', 'raw_frame_last': '000404', 'pose_path': 'trials/icra_reviewer_revision/pose_inputs/seen_transfer/poses_0001.mat', 'pose_sha256': '9edc8377bff4bd16983f13eb319588dae2bfa6080ccb128516fee9c3914ce76a', 'relative_transform_max_abs_error': 3.789213394611579e-06, 'label_xy_max_abs_error': 1.7783203119847713e-05, 'source_rotation_max_orthogonality_error': 1.3090157600093022e-06, 'label_rows_checked': 1970, 'max_ego_displacement_m': 3.60733974003007, 'max_ego_yaw_change_deg': 0.40993650772275975}
POSE INPUT VERIFIED seen_transfer {'sequence': '0014', 'scene': 'testoutput_CAV_data_2022-03-17-12-14-33_1', 'frames': 80, 'raw_frame_first': '000000', 'raw_frame_last': '000079', 'pose_path': 'trials/icra_reviewer_revision/pose_inputs/seen_transfer/poses_0014.mat', 'pose_sha256': 'c38d5bdff5d76603d42c4340460782d426f9f6229a22e4f40290d88073374484', 'relative_transform_max_abs_error': 2.1576411768364778e-07, 'label_xy_max_abs_error': 8.920898437736469e-06, 'source_rotation_max_orthogonality_error': 1.0573417570380883e-06, 'label_rows_checked': 1860, 'max_ego_displacement_m': 0.031408438356352264, 'max_ego_yaw_change_deg': 0.010034572117189267}
POSE INPUT VERIFIED seen_transfer {'sequence': '0016', 'scene': 'testoutput_CAV_data_2022-03-17-14-44-47_2', 'frames': 293, 'raw_frame_first': '000000', 'raw_frame_last': '000292', 'pose_path': 'trials/icra_reviewer_revision/pose_inputs/seen_transfer/poses_0016.mat', 'pose_sha256': 'f3d5040be7afc967644b32d50a04d055fd70caf3643303cd0f6507addb9d0a58', 'relative_transform_max_abs_error': 1.9017292842704592e-06, 'label_xy_max_abs_error': 1.635253906329126e-05, 'source_rotation_max_orthogonality_error': 1.2320022400036379e-06, 'label_rows_checked': 6266, 'max_ego_displacement_m': 1.824999999999938, 'max_ego_yaw_change_deg': 0.050018801920839004}
POSE INPUT VERIFIED seen_transfer {'sequence': '0017', 'scene': 'testoutput_CAV_data_2022-03-17-14-44-47_3', 'frames': 111, 'raw_frame_first': '000000', 'raw_frame_last': '000110', 'pose_path': 'trials/icra_reviewer_revision/pose_inputs/seen_transfer/poses_0017.mat', 'pose_sha256': 'c3b11c6a83819f1f821ba087a07e0ae0a29a41a019265b940cbbd9be62d4a7b0', 'relative_transform_max_abs_error': 3.3286538041465974e-06, 'label_xy_max_abs_error': 1.1411132817329417e-05, 'source_rotation_max_orthogonality_error': 1.0547284555739722e-06, 'label_rows_checked': 1198, 'max_ego_displacement_m': 1.6543578814755595, 'max_ego_yaw_change_deg': 0.25997927596244597}
POSE INPUT VERIFIED seen_transfer {'sequence': '0018', 'scene': 'testoutput_CAV_data_2022-03-17-14-44-47_5', 'frames': 183, 'raw_frame_first': '000000', 'raw_frame_last': '000182', 'pose_path': 'trials/icra_reviewer_revision/pose_inputs/seen_transfer/poses_0018.mat', 'pose_sha256': '3ee07e773246fe2ab9d9339fe4c76f4c586e5110297eb1e79182d76d8c46b252', 'relative_transform_max_abs_error': 4.362987020556375e-07, 'label_xy_max_abs_error': 1.0715332024346935e-05, 'source_rotation_max_orthogonality_error': 1.1079064701213781e-06, 'label_rows_checked': 2284, 'max_ego_displacement_m': 1.2130381857139074, 'max_ego_yaw_change_deg': 0.049912855754615286}
POSE INPUT VERIFIED seen_transfer {'sequence': '0019', 'scene': 'testoutput_CAV_data_2022-03-17-14-44-47_6', 'frames': 177, 'raw_frame_first': '000000', 'raw_frame_last': '000176', 'pose_path': 'trials/icra_reviewer_revision/pose_inputs/seen_transfer/poses_0019.mat', 'pose_sha256': '6eebbfe62f44b4ff7547f60efa7efbf89e8de4546e369f5b9c3b623793e74b23', 'relative_transform_max_abs_error': 3.7715198999421773e-06, 'label_xy_max_abs_error': 1.7958984372512532e-05, 'source_rotation_max_orthogonality_error': 1.1685042400344514e-06, 'label_rows_checked': 3070, 'max_ego_displacement_m': 1.7780414618338025, 'max_ego_yaw_change_deg': 0.060043505900021554}
POSE INPUT VERIFIED seen_transfer {'sequence': '0021', 'scene': 'testoutput_CAV_data_2022-03-17-15-55-26_0', 'frames': 286, 'raw_frame_first': '000000', 'raw_frame_last': '000285', 'pose_path': 'trials/icra_reviewer_revision/pose_inputs/seen_transfer/poses_0021.mat', 'pose_sha256': '57f92b3cf84aa5a8733678b70e6470317fc2b8ecd7fbfc908cb3c440f98eef51', 'relative_transform_max_abs_error': 1.8871911180440293e-06, 'label_xy_max_abs_error': 1.9062500001609806e-05, 'source_rotation_max_orthogonality_error': 1.147711222504455e-06, 'label_rows_checked': 2721, 'max_ego_displacement_m': 1.91354356104047, 'max_ego_yaw_change_deg': 2.379942617265683}
POSE INPUT VERIFIED seen_transfer {'sequence': '0022', 'scene': 'testoutput_CAV_data_2022-03-17-15-55-26_1', 'frames': 229, 'raw_frame_first': '000000', 'raw_frame_last': '000228', 'pose_path': 'trials/icra_reviewer_revision/pose_inputs/seen_transfer/poses_0022.mat', 'pose_sha256': 'cd23846b6b8cfbeb5304f53be914dbaca9816df39787dcd3c96a3c84a970f932', 'relative_transform_max_abs_error': 3.78865972550102e-06, 'label_xy_max_abs_error': 1.8164062495884536e-05, 'source_rotation_max_orthogonality_error': 1.2117160899105528e-06, 'label_rows_checked': 7431, 'max_ego_displacement_m': 2.1529408932902454, 'max_ego_yaw_change_deg': 0.28997233733811517}
POSE INPUT VERIFIED seen_transfer {'sequence': '0023', 'scene': 'testoutput_CAV_data_2022-03-17-16-06-11_0', 'frames': 120, 'raw_frame_first': '000000', 'raw_frame_last': '000119', 'pose_path': 'trials/icra_reviewer_revision/pose_inputs/seen_transfer/poses_0023.mat', 'pose_sha256': '3d6d0f28c7c66e8c0dd82df4fff4d0d533cbe3a008864f456998eb420f0197e0', 'relative_transform_max_abs_error': 1.9034833300679566e-06, 'label_xy_max_abs_error': 1.7524414062108917e-05, 'source_rotation_max_orthogonality_error': 1.1227903599086986e-06, 'label_rows_checked': 4506, 'max_ego_displacement_m': 2.196176941869721, 'max_ego_yaw_change_deg': 0.059978222449277044}
POSE INPUT VERIFIED seen_transfer {'sequence': '0024', 'scene': 'testoutput_CAV_data_2022-03-21-09-35-07_2', 'frames': 168, 'raw_frame_first': '000000', 'raw_frame_last': '000167', 'pose_path': 'trials/icra_reviewer_revision/pose_inputs/seen_transfer/poses_0024.mat', 'pose_sha256': '2cddf4c9fa8f890f6af5d93f41426812c9466c325981a0de5026df99df61f2c4', 'relative_transform_max_abs_error': 6.232892246771371e-07, 'label_xy_max_abs_error': 1.370117188059794e-05, 'source_rotation_max_orthogonality_error': 1.0525029998653679e-06, 'label_rows_checked': 2121, 'max_ego_displacement_m': 0.45891175622339586, 'max_ego_yaw_change_deg': 0.020001555950706598}
POSE INPUT VERIFIED seen_transfer {'sequence': '0026', 'scene': 'testoutput_CAV_data_2022-03-21-09-35-07_4', 'frames': 135, 'raw_frame_first': '000000', 'raw_frame_last': '000134', 'pose_path': 'trials/icra_reviewer_revision/pose_inputs/seen_transfer/poses_0026.mat', 'pose_sha256': '81a0a017ba317439453c98b78a488b4b556b0932302daffbdf11394776930200', 'relative_transform_max_abs_error': 3.4785375646606553e-06, 'label_xy_max_abs_error': 1.5296875005788024e-05, 'source_rotation_max_orthogonality_error': 1.2189396473294423e-06, 'label_rows_checked': 1026, 'max_ego_displacement_m': 2.4270931172907044, 'max_ego_yaw_change_deg': 0.34001969260914416}
POSE INPUT VERIFIED seen_transfer {'sequence': '0027', 'scene': 'testoutput_CAV_data_2022-03-21-09-35-07_5', 'frames': 143, 'raw_frame_first': '000000', 'raw_frame_last': '000142', 'pose_path': 'trials/icra_reviewer_revision/pose_inputs/seen_transfer/poses_0027.mat', 'pose_sha256': '3697e0d5add3bbbc710b6d6ecc4dfc6c01739349b4b70a4ec748cdade479105b', 'relative_transform_max_abs_error': 3.782798557949718e-06, 'label_xy_max_abs_error': 1.8818359379224603e-05, 'source_rotation_max_orthogonality_error': 1.3515638102035155e-06, 'label_rows_checked': 2213, 'max_ego_displacement_m': 2.425152366347311, 'max_ego_yaw_change_deg': 0.36006432355713797}
POSE INPUT VERIFIED seen_transfer {'sequence': '0028', 'scene': 'testoutput_CAV_data_2022-03-21-09-35-07_6', 'frames': 149, 'raw_frame_first': '000000', 'raw_frame_last': '000148', 'pose_path': 'trials/icra_reviewer_revision/pose_inputs/seen_transfer/poses_0028.mat', 'pose_sha256': '047769fa381ec4ab34a37e48f8a10ac7f6e3583f5cbb141293bbf3ee65bf86b2', 'relative_transform_max_abs_error': 1.8780124264594633e-06, 'label_xy_max_abs_error': 1.384277344129714e-05, 'source_rotation_max_orthogonality_error': 1.3153205099759894e-06, 'label_rows_checked': 1726, 'max_ego_displacement_m': 1.6218273644256014, 'max_ego_yaw_change_deg': 0.17998788013644038}
POSE INPUT VERIFIED seen_transfer {'sequence': '0029', 'scene': 'testoutput_CAV_data_2022-03-21-09-35-07_8', 'frames': 165, 'raw_frame_first': '000000', 'raw_frame_last': '000164', 'pose_path': 'trials/icra_reviewer_revision/pose_inputs/seen_transfer/poses_0029.mat', 'pose_sha256': '44056e42d60864eb0341220946bbea29f4003d9a65155c674f3131218fef3962', 'relative_transform_max_abs_error': 9.484147085458972e-07, 'label_xy_max_abs_error': 1.661621094228849e-05, 'source_rotation_max_orthogonality_error': 1.207565490046747e-06, 'label_rows_checked': 3034, 'max_ego_displacement_m': 1.9017415702454223, 'max_ego_yaw_change_deg': 0.26000932984076924}
POSE INPUT VERIFIED seen_transfer {'sequence': '0031', 'scene': 'testoutput_CAV_data_2022-03-21-09-50-20_10', 'frames': 108, 'raw_frame_first': '000000', 'raw_frame_last': '000107', 'pose_path': 'trials/icra_reviewer_revision/pose_inputs/seen_transfer/poses_0031.mat', 'pose_sha256': '9e04b2fed4dd069df443121d85130d4baa39d5bbd916a76afba8c33c347d8131', 'relative_transform_max_abs_error': 2.3424723849529983e-07, 'label_xy_max_abs_error': 1.9028320309644187e-05, 'source_rotation_max_orthogonality_error': 1.092823669557319e-06, 'label_rows_checked': 1542, 'max_ego_displacement_m': 2.156710458082034, 'max_ego_yaw_change_deg': 0.10000891376011552}
ALL POSE INPUTS VERIFIED seen_transfer 25
